ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores
0,2,5,6,2.5,3.0,2.5,3.0
1,378,10,8,5.0,4.0,5.0,4.0
2,225,65,4,32.5,2.0,32.5,2.0
3,61,30,4,15.0,2.0,15.0,2.0
4,174,30,10,15.0,5.0,15.0,5.0
5,34,20,2,10.0,1.0,10.0,1.0
6,9,50,4,25.0,2.0,25.0,2.0
7,494,10,2,5.0,1.0,5.0,1.0
8,168,35,2,17.5,1.0,17.5,1.0
9,350,75,4,37.5,2.0,37.5,2.0
10,84,45,4,22.5,2.0,22.5,2.0
11,26,40,10,20.0,5.0,20.0,5.0
12,382,35,2,17.5,1.0,17.5,1.0
13,132,65,6,32.5,3.0,32.5,3.0
14,148,55,6,27.5,3.0,27.5,3.0
15,358,75,8,37.5,4.0,37.5,4.0
16,151,45,2,22.5,1.0,22.5,1.0
17,433,50,8,25.0,4.0,25.0,4.0
18,56,10,4,5.0,2.0,5.0,2.0
19,221,80,6,40.0,3.0,40.0,3.0
20,489,15,6,7.5,3.0,7.5,3.0
21,445,25,4,12.5,2.0,12.5,2.0
22,442,15,10,7.5,5.0,7.5,5.0
23,405,10,4,5.0,2.0,5.0,2.0
24,406,25,8,12.5,4.0,12.5,4.0
25,141,25,10,12.5,5.0,12.5,5.0
26,343,45,2,22.5,1.0,22.5,1.0
27,342,40,6,20.0,3.0,20.0,3.0
28,116,15,10,7.5,5.0,7.5,5.0
29,498,75,8,37.5,4.0,37.5,4.0
30,407,25,2,12.5,1.0,12.5,1.0
31,134,50,10,25.0,5.0,25.0,5.0
32,21,30,8,15.0,4.0,15.0,4.0
33,392,35,8,17.5,4.0,17.5,4.0
34,179,10,2,5.0,1.0,5.0,1.0
35,307,5,6,2.5,3.0,2.5,3.0
36,294,5,8,2.5,4.0,2.5,4.0
37,480,20,4,10.0,2.0,10.0,2.0
38,492,15,4,7.5,2.0,7.5,2.0
39,153,15,10,7.5,5.0,7.5,5.0
40,450,5,10,2.5,5.0,2.5,5.0
41,81,55,10,27.5,5.0,27.5,5.0
42,373,35,6,17.5,3.0,17.5,3.0
43,22,35,4,17.5,2.0,17.5,2.0
44,427,25,8,12.5,4.0,12.5,4.0
45,59,5,8,2.5,4.0,2.5,4.0
46,19,10,10,5.0,5.0,5.0,5.0
47,426,60,2,30.0,1.0,30.0,1.0
48,80,65,8,32.5,4.0,32.5,4.0
49,150,10,2,5.0,1.0,5.0,1.0
50,7,40,6,20.0,3.0,20.0,3.0
51,264,15,4,7.5,2.0,7.5,2.0
52,388,15,4,7.5,2.0,7.5,2.0
53,333,15,8,7.5,4.0,7.5,4.0
54,207,65,8,32.5,4.0,32.5,4.0
55,260,30,8,15.0,4.0,15.0,4.0
56,113,60,8,30.0,4.0,30.0,4.0
57,10,65,2,32.5,1.0,32.5,1.0
58,137,35,8,17.5,4.0,17.5,4.0
59,98,45,8,22.5,4.0,22.5,4.0
60,36,25,4,12.5,2.0,12.5,2.0
61,266,70,10,35.0,5.0,35.0,5.0
62,366,55,6,27.5,3.0,27.5,3.0
63,428,10,4,5.0,2.0,5.0,2.0
64,144,15,4,7.5,2.0,7.5,2.0
65,273,35,4,17.5,2.0,17.5,2.0
66,421,40,2,20.0,1.0,20.0,1.0
67,52,50,4,25.0,2.0,25.0,2.0
68,240,15,2,7.5,1.0,7.5,1.0
69,202,35,10,17.5,5.0,17.5,5.0
70,33,25,8,12.5,4.0,12.5,4.0
71,391,80,10,40.0,5.0,40.0,5.0
72,431,50,10,25.0,5.0,25.0,5.0
73,233,45,4,22.5,2.0,22.5,2.0
74,31,80,10,40.0,5.0,40.0,5.0
75,256,30,6,15.0,3.0,15.0,3.0
76,286,45,4,22.5,2.0,22.5,2.0
77,283,30,10,15.0,5.0,15.0,5.0
78,3,30,6,15.0,3.0,15.0,3.0
79,185,20,2,10.0,1.0,10.0,1.0
80,357,30,2,15.0,1.0,15.0,1.0
81,178,20,10,10.0,5.0,10.0,5.0
82,255,30,4,15.0,2.0,15.0,2.0
83,367,55,6,27.5,3.0,27.5,3.0
84,438,35,8,17.5,4.0,17.5,4.0
85,248,35,10,17.5,5.0,17.5,5.0
86,410,30,2,15.0,1.0,15.0,1.0
87,46,5,8,2.5,4.0,2.5,4.0
88,146,20,8,10.0,4.0,10.0,4.0
89,24,25,10,12.5,5.0,12.5,5.0
90,356,5,10,2.5,5.0,2.5,5.0
91,490,25,6,12.5,3.0,12.5,3.0
92,109,70,4,35.0,2.0,35.0,2.0
93,92,5,2,2.5,1.0,2.5,1.0
94,89,20,2,10.0,1.0,10.0,1.0
95,397,5,10,2.5,5.0,2.5,5.0
96,55,50,2,25.0,1.0,25.0,1.0
97,195,35,2,17.5,1.0,17.5,1.0
98,413,30,8,15.0,4.0,15.0,4.0
99,462,20,4,10.0,2.0,10.0,2.0
100,133,10,6,5.0,3.0,5.0,3.0
101,8,10,8,5.0,4.0,5.0,4.0
102,328,70,2,35.0,1.0,35.0,1.0
103,41,5,8,2.5,4.0,2.5,4.0
104,72,25,10,12.5,5.0,12.5,5.0
105,161,10,10,5.0,5.0,5.0,5.0
106,57,10,8,5.0,4.0,5.0,4.0
107,293,35,8,17.5,4.0,17.5,4.0
108,362,75,10,37.5,5.0,37.5,5.0
109,262,15,4,7.5,2.0,7.5,2.0
110,352,55,4,27.5,2.0,27.5,2.0
111,42,35,4,17.5,2.0,17.5,2.0
112,402,10,2,5.0,1.0,5.0,1.0
113,483,35,10,17.5,5.0,17.5,5.0
114,200,55,6,27.5,3.0,27.5,3.0
115,228,10,2,5.0,1.0,5.0,1.0
116,68,30,8,15.0,4.0,15.0,4.0
117,365,75,2,37.5,1.0,37.5,1.0
118,303,45,8,22.5,4.0,22.5,4.0
119,97,20,10,10.0,5.0,10.0,5.0
120,218,10,4,5.0,2.0,5.0,2.0
121,398,25,2,12.5,1.0,12.5,1.0
122,451,15,8,7.5,4.0,7.5,4.0
123,346,15,6,7.5,3.0,7.5,3.0
124,186,20,8,10.0,4.0,10.0,4.0
125,320,55,8,27.5,4.0,27.5,4.0
126,120,80,4,40.0,2.0,40.0,2.0
127,37,25,8,12.5,4.0,12.5,4.0
128,103,20,8,10.0,4.0,10.0,4.0
129,203,55,6,27.5,3.0,27.5,3.0
130,454,60,4,30.0,2.0,30.0,2.0
131,323,25,6,12.5,3.0,12.5,3.0
132,156,10,2,5.0,1.0,5.0,1.0
133,497,55,2,27.5,1.0,27.5,1.0
134,136,40,8,20.0,4.0,20.0,4.0
135,289,65,6,32.5,3.0,32.5,3.0
136,212,15,6,7.5,3.0,7.5,3.0
137,297,45,10,22.5,5.0,22.5,5.0
138,298,25,8,12.5,4.0,12.5,4.0
139,360,35,10,17.5,5.0,17.5,5.0
140,463,80,6,40.0,3.0,40.0,3.0
141,25,65,8,32.5,4.0,32.5,4.0
142,246,35,10,17.5,5.0,17.5,5.0
143,476,10,10,5.0,5.0,5.0,5.0
144,142,10,8,5.0,4.0,5.0,4.0
145,247,70,6,35.0,3.0,35.0,3.0
146,456,5,6,2.5,3.0,2.5,3.0
147,446,15,6,7.5,3.0,7.5,3.0
148,44,10,2,5.0,1.0,5.0,1.0
149,58,25,2,12.5,1.0,12.5,1.0
150,370,60,8,30.0,4.0,30.0,4.0
151,164,15,8,7.5,4.0,7.5,4.0
152,155,30,10,15.0,5.0,15.0,5.0
153,274,30,6,15.0,3.0,15.0,3.0
154,66,5,6,2.5,3.0,2.5,3.0
155,147,50,10,25.0,5.0,25.0,5.0
156,263,10,2,5.0,1.0,5.0,1.0
157,39,15,2,7.5,1.0,7.5,1.0
158,62,40,6,20.0,3.0,20.0,3.0
159,145,40,4,20.0,2.0,20.0,2.0
160,167,30,4,15.0,2.0,15.0,2.0
161,95,50,2,25.0,1.0,25.0,1.0
162,67,15,10,7.5,5.0,7.5,5.0
163,377,10,2,5.0,1.0,5.0,1.0
164,409,25,10,12.5,5.0,12.5,5.0
165,488,45,4,22.5,2.0,22.5,2.0
166,139,5,4,2.5,2.0,2.5,2.0
167,180,5,4,2.5,2.0,2.5,2.0
168,284,20,10,10.0,5.0,10.0,5.0
169,121,75,2,37.5,1.0,37.5,1.0
170,337,20,10,10.0,5.0,10.0,5.0
171,368,80,6,40.0,3.0,40.0,3.0
172,316,35,2,17.5,1.0,17.5,1.0
173,379,10,8,5.0,4.0,5.0,4.0
174,245,65,4,32.5,2.0,32.5,2.0
175,287,50,6,25.0,3.0,25.0,3.0
176,254,70,4,35.0,2.0,35.0,2.0
177,395,10,10,5.0,5.0,5.0,5.0
178,169,35,8,17.5,4.0,17.5,4.0
179,125,20,4,10.0,2.0,10.0,2.0
180,177,20,2,10.0,1.0,10.0,1.0
181,338,15,8,7.5,4.0,7.5,4.0
182,90,15,4,7.5,2.0,7.5,2.0
183,300,35,8,17.5,4.0,17.5,4.0
184,417,15,8,7.5,4.0,7.5,4.0
185,108,20,10,10.0,5.0,10.0,5.0
186,389,15,2,7.5,1.0,7.5,1.0
187,349,5,8,2.5,4.0,2.5,4.0
188,477,20,10,10.0,5.0,10.0,5.0
189,71,30,6,15.0,3.0,15.0,3.0
190,441,15,10,7.5,5.0,7.5,5.0
191,329,15,4,7.5,2.0,7.5,2.0
192,88,20,10,10.0,5.0,10.0,5.0
193,380,35,10,17.5,5.0,17.5,5.0
194,129,45,4,22.5,2.0,22.5,2.0
195,335,35,4,17.5,2.0,17.5,2.0
196,411,5,8,2.5,4.0,2.5,4.0
197,314,60,6,30.0,3.0,30.0,3.0
198,122,5,8,2.5,4.0,2.5,4.0
199,265,35,4,17.5,2.0,17.5,2.0
200,465,35,8,17.5,4.0,17.5,4.0
201,249,35,10,17.5,5.0,17.5,5.0
202,396,35,2,17.5,1.0,17.5,1.0
203,45,30,4,15.0,2.0,15.0,2.0
204,63,5,6,2.5,3.0,2.5,3.0
205,322,15,10,7.5,5.0,7.5,5.0
206,28,20,6,10.0,3.0,10.0,3.0
207,340,60,4,30.0,2.0,30.0,2.0
208,111,20,2,10.0,1.0,10.0,1.0
209,197,5,8,2.5,4.0,2.5,4.0
210,199,75,10,37.5,5.0,37.5,5.0
211,472,55,6,27.5,3.0,27.5,3.0
212,91,25,6,12.5,3.0,12.5,3.0
213,16,65,6,32.5,3.0,32.5,3.0
214,152,5,2,2.5,1.0,2.5,1.0
215,38,75,8,37.5,4.0,37.5,4.0
216,183,25,2,12.5,1.0,12.5,1.0
217,94,5,4,2.5,2.0,2.5,2.0
218,499,30,4,15.0,2.0,15.0,2.0
219,208,30,2,15.0,1.0,15.0,1.0
220,280,5,2,2.5,1.0,2.5,1.0
221,196,5,6,2.5,3.0,2.5,3.0
222,312,35,6,17.5,3.0,17.5,3.0
223,291,15,6,7.5,3.0,7.5,3.0
224,393,75,2,37.5,1.0,37.5,1.0
225,253,70,4,35.0,2.0,35.0,2.0
226,474,10,2,5.0,1.0,5.0,1.0
227,468,10,2,5.0,1.0,5.0,1.0
228,288,30,2,15.0,1.0,15.0,1.0
229,332,25,2,12.5,1.0,12.5,1.0
230,123,70,8,35.0,4.0,35.0,4.0
231,268,70,4,35.0,2.0,35.0,2.0
232,96,30,2,15.0,1.0,15.0,1.0
233,226,15,2,7.5,1.0,7.5,1.0
234,467,70,2,35.0,1.0,35.0,1.0
