ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores
0,55,5,4,2.5,2.0,2.5,2.0
1,44,45,2,22.5,1.0,22.5,1.0
2,388,20,4,10.0,2.0,10.0,2.0
3,256,30,2,15.0,1.0,15.0,1.0
4,6,35,2,17.5,1.0,17.5,1.0
5,451,50,10,25.0,5.0,25.0,5.0
6,409,35,8,17.5,4.0,17.5,4.0
7,489,80,6,40.0,3.0,40.0,3.0
8,493,40,6,20.0,3.0,20.0,3.0
9,51,15,8,7.5,4.0,7.5,4.0
10,172,10,4,5.0,2.0,5.0,2.0
11,408,25,10,12.5,5.0,12.5,5.0
12,71,40,8,20.0,4.0,20.0,4.0
13,401,15,8,7.5,4.0,7.5,4.0
14,478,25,8,12.5,4.0,12.5,4.0
15,10,70,10,35.0,5.0,35.0,5.0
16,158,70,4,35.0,2.0,35.0,2.0
17,251,55,8,27.5,4.0,27.5,4.0
18,38,25,4,12.5,2.0,12.5,2.0
19,166,30,6,15.0,3.0,15.0,3.0
20,340,35,2,17.5,1.0,17.5,1.0
21,267,60,6,30.0,3.0,30.0,3.0
22,283,30,6,15.0,3.0,15.0,3.0
23,190,20,2,10.0,1.0,10.0,1.0
24,281,15,2,7.5,1.0,7.5,1.0
25,198,30,10,15.0,5.0,15.0,5.0
26,352,10,2,5.0,1.0,5.0,1.0
27,279,80,6,40.0,3.0,40.0,3.0
28,7,20,8,10.0,4.0,10.0,4.0
29,263,15,8,7.5,4.0,7.5,4.0
30,213,55,10,27.5,5.0,27.5,5.0
31,119,75,8,37.5,4.0,37.5,4.0
32,23,80,4,40.0,2.0,40.0,2.0
33,273,50,8,25.0,4.0,25.0,4.0
34,239,50,2,25.0,1.0,25.0,1.0
35,188,20,2,10.0,1.0,10.0,1.0
36,476,30,2,15.0,1.0,15.0,1.0
37,14,30,4,15.0,2.0,15.0,2.0
38,56,15,6,7.5,3.0,7.5,3.0
39,334,35,8,17.5,4.0,17.5,4.0
40,204,40,8,20.0,4.0,20.0,4.0
41,194,25,4,12.5,2.0,12.5,2.0
42,130,40,4,20.0,2.0,20.0,2.0
43,387,35,6,17.5,3.0,17.5,3.0
44,439,40,8,20.0,4.0,20.0,4.0
45,309,65,6,32.5,3.0,32.5,3.0
46,304,65,10,32.5,5.0,32.5,5.0
47,269,60,8,30.0,4.0,30.0,4.0
48,39,60,4,30.0,2.0,30.0,2.0
49,16,65,8,32.5,4.0,32.5,4.0
50,67,5,10,2.5,5.0,2.5,5.0
51,362,75,4,37.5,2.0,37.5,2.0
52,475,10,2,5.0,1.0,5.0,1.0
53,383,25,6,12.5,3.0,12.5,3.0
54,60,5,4,2.5,2.0,2.5,2.0
55,332,10,6,5.0,3.0,5.0,3.0
56,73,75,8,37.5,4.0,37.5,4.0
57,152,45,4,22.5,2.0,22.5,2.0
58,105,20,8,10.0,4.0,10.0,4.0
