ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores
0,463,20,8,10.0,4.0,10.0,4.0
1,252,5,6,2.5,3.0,2.5,3.0
2,400,15,4,7.5,2.0,7.5,2.0
3,30,30,8,15.0,4.0,15.0,4.0
4,12,30,6,15.0,3.0,15.0,3.0
5,170,30,2,15.0,1.0,15.0,1.0
6,8,35,10,17.5,5.0,17.5,5.0
7,300,15,6,7.5,3.0,7.5,3.0
8,470,35,2,17.5,1.0,17.5,1.0
9,154,45,2,22.5,1.0,22.5,1.0
10,374,60,4,30.0,2.0,30.0,2.0
11,231,5,4,2.5,2.0,2.5,2.0
12,376,20,10,10.0,5.0,10.0,5.0
13,183,55,2,27.5,1.0,27.5,1.0
14,403,30,10,15.0,5.0,15.0,5.0
15,219,30,2,15.0,1.0,15.0,1.0
16,189,5,10,2.5,5.0,2.5,5.0
17,364,10,10,5.0,5.0,5.0,5.0
18,141,5,10,2.5,5.0,2.5,5.0
19,268,30,10,15.0,5.0,15.0,5.0
20,340,30,10,15.0,5.0,15.0,5.0
21,386,10,2,5.0,1.0,5.0,1.0
22,13,45,10,22.5,5.0,22.5,5.0
23,290,30,6,15.0,3.0,15.0,3.0
24,489,30,6,15.0,3.0,15.0,3.0
25,240,20,10,10.0,5.0,10.0,5.0
26,6,30,10,15.0,5.0,15.0,5.0
27,379,5,2,2.5,1.0,2.5,1.0
28,178,55,6,27.5,3.0,27.5,3.0
29,139,45,2,22.5,1.0,22.5,1.0
30,328,35,2,17.5,1.0,17.5,1.0
31,65,15,4,7.5,2.0,7.5,2.0
32,23,10,6,5.0,3.0,5.0,3.0
33,73,60,2,30.0,1.0,30.0,1.0
34,297,25,10,12.5,5.0,12.5,5.0
35,198,80,4,40.0,2.0,40.0,2.0
36,83,30,6,15.0,3.0,15.0,3.0
37,134,30,2,15.0,1.0,15.0,1.0
38,430,55,4,27.5,2.0,27.5,2.0
39,101,20,6,10.0,3.0,10.0,3.0
40,92,5,6,2.5,3.0,2.5,3.0
41,483,30,8,15.0,4.0,15.0,4.0
42,474,75,4,37.5,2.0,37.5,2.0
43,387,70,2,35.0,1.0,35.0,1.0
44,66,75,10,37.5,5.0,37.5,5.0
45,50,20,10,10.0,5.0,10.0,5.0
46,330,65,6,32.5,3.0,32.5,3.0
47,235,5,6,2.5,3.0,2.5,3.0
48,451,10,6,5.0,3.0,5.0,3.0
49,225,30,10,15.0,5.0,15.0,5.0
50,47,30,10,15.0,5.0,15.0,5.0
51,399,40,6,20.0,3.0,20.0,3.0
52,186,30,2,15.0,1.0,15.0,1.0
53,162,5,2,2.5,1.0,2.5,1.0
54,19,5,4,2.5,2.0,2.5,2.0
55,177,20,2,10.0,1.0,10.0,1.0
56,414,15,4,7.5,2.0,7.5,2.0
57,41,5,4,2.5,2.0,2.5,2.0
58,459,55,10,27.5,5.0,27.5,5.0
59,309,10,2,5.0,1.0,5.0,1.0
60,255,80,2,40.0,1.0,40.0,1.0
61,195,65,6,32.5,3.0,32.5,3.0
62,133,50,10,25.0,5.0,25.0,5.0
63,293,5,10,2.5,5.0,2.5,5.0
64,99,45,2,22.5,1.0,22.5,1.0
65,35,45,2,22.5,1.0,22.5,1.0
66,490,20,8,10.0,4.0,10.0,4.0
67,144,35,2,17.5,1.0,17.5,1.0
68,500,5,2,2.5,1.0,2.5,1.0
69,393,25,4,12.5,2.0,12.5,2.0
70,96,60,8,30.0,4.0,30.0,4.0
71,402,25,8,12.5,4.0,12.5,4.0
72,296,30,6,15.0,3.0,15.0,3.0
73,119,5,10,2.5,5.0,2.5,5.0
74,405,15,6,7.5,3.0,7.5,3.0
75,57,65,10,32.5,5.0,32.5,5.0
76,51,30,6,15.0,3.0,15.0,3.0
77,194,70,2,35.0,1.0,35.0,1.0
78,206,20,8,10.0,4.0,10.0,4.0
79,54,5,10,2.5,5.0,2.5,5.0
80,239,20,8,10.0,4.0,10.0,4.0
81,435,15,10,7.5,5.0,7.5,5.0
82,497,5,2,2.5,1.0,2.5,1.0
83,120,20,10,10.0,5.0,10.0,5.0
84,350,15,2,7.5,1.0,7.5,1.0
85,146,5,8,2.5,4.0,2.5,4.0
86,486,50,8,25.0,4.0,25.0,4.0
87,436,30,8,15.0,4.0,15.0,4.0
88,46,70,2,35.0,1.0,35.0,1.0
89,1,35,10,17.5,5.0,17.5,5.0
90,295,35,8,17.5,4.0,17.5,4.0
91,209,10,8,5.0,4.0,5.0,4.0
92,176,10,4,5.0,2.0,5.0,2.0
93,112,20,6,10.0,3.0,10.0,3.0
94,22,60,2,30.0,1.0,30.0,1.0
95,78,15,4,7.5,2.0,7.5,2.0
96,191,5,10,2.5,5.0,2.5,5.0
97,419,45,2,22.5,1.0,22.5,1.0
98,40,15,10,7.5,5.0,7.5,5.0
99,318,20,4,10.0,2.0,10.0,2.0
100,249,40,2,20.0,1.0,20.0,1.0
101,234,20,6,10.0,3.0,10.0,3.0
102,199,65,6,32.5,3.0,32.5,3.0
103,382,40,4,20.0,2.0,20.0,2.0
104,305,15,8,7.5,4.0,7.5,4.0
105,389,25,8,12.5,4.0,12.5,4.0
