ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores
0,12,80,6,40.0,3.0,40.0,3.0
1,470,30,4,15.0,2.0,15.0,2.0
2,45,20,6,10.0,3.0,10.0,3.0
3,218,15,2,7.5,1.0,7.5,1.0
4,246,30,2,15.0,1.0,15.0,1.0
5,230,10,10,5.0,5.0,5.0,5.0
6,110,30,8,15.0,4.0,15.0,4.0
7,305,10,10,5.0,5.0,5.0,5.0
8,7,30,2,15.0,1.0,15.0,1.0
9,214,80,10,40.0,5.0,40.0,5.0
10,302,45,6,22.5,3.0,22.5,3.0
11,326,5,8,2.5,4.0,2.5,4.0
12,212,30,2,15.0,1.0,15.0,1.0
13,307,25,8,12.5,4.0,12.5,4.0
14,491,25,6,12.5,3.0,12.5,3.0
15,490,5,8,2.5,4.0,2.5,4.0
16,249,5,10,2.5,5.0,2.5,5.0
17,259,20,10,10.0,5.0,10.0,5.0
18,261,25,2,12.5,1.0,12.5,1.0
19,441,75,2,37.5,1.0,37.5,1.0
20,160,30,4,15.0,2.0,15.0,2.0
21,368,30,2,15.0,1.0,15.0,1.0
22,145,15,4,7.5,2.0,7.5,2.0
23,75,75,2,37.5,1.0,37.5,1.0
24,97,10,2,5.0,1.0,5.0,1.0
25,79,10,10,5.0,5.0,5.0,5.0
26,111,20,4,10.0,2.0,10.0,2.0
27,96,50,6,25.0,3.0,25.0,3.0
28,207,10,2,5.0,1.0,5.0,1.0
29,20,15,10,7.5,5.0,7.5,5.0
30,199,5,10,2.5,5.0,2.5,5.0
31,281,35,6,17.5,3.0,17.5,3.0
32,202,50,6,25.0,3.0,25.0,3.0
33,36,40,2,20.0,1.0,20.0,1.0
34,143,60,2,30.0,1.0,30.0,1.0
35,148,20,4,10.0,2.0,10.0,2.0
36,152,60,8,30.0,4.0,30.0,4.0
37,100,55,4,27.5,2.0,27.5,2.0
38,285,45,2,22.5,1.0,22.5,1.0
39,157,35,2,17.5,1.0,17.5,1.0
40,120,35,6,17.5,3.0,17.5,3.0
