ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores
0,227,25,2,12.5,1.0,12.5,1.0
1,37,40,2,20.0,1.0,20.0,1.0
2,156,60,2,30.0,1.0,30.0,1.0
3,340,25,2,12.5,1.0,12.5,1.0
4,373,40,8,20.0,4.0,20.0,4.0
5,47,50,4,25.0,2.0,25.0,2.0
6,454,65,2,32.5,1.0,32.5,1.0
7,332,40,4,20.0,2.0,20.0,2.0
8,181,60,4,30.0,2.0,30.0,2.0
9,410,35,4,17.5,2.0,17.5,2.0
10,120,30,6,15.0,3.0,15.0,3.0
11,192,25,4,12.5,2.0,12.5,2.0
12,395,75,4,37.5,2.0,37.5,2.0
13,367,40,10,20.0,5.0,20.0,5.0
14,339,15,10,7.5,5.0,7.5,5.0
15,166,70,8,35.0,4.0,35.0,4.0
16,185,20,8,10.0,4.0,10.0,4.0
17,76,10,8,5.0,4.0,5.0,4.0
18,427,25,10,12.5,5.0,12.5,5.0
19,225,50,8,25.0,4.0,25.0,4.0
20,143,20,10,10.0,5.0,10.0,5.0
21,13,70,10,35.0,5.0,35.0,5.0
22,176,5,4,2.5,2.0,2.5,2.0
23,112,30,6,15.0,3.0,15.0,3.0
24,280,20,6,10.0,3.0,10.0,3.0
25,8,10,6,5.0,3.0,5.0,3.0
26,316,30,2,15.0,1.0,15.0,1.0
27,116,5,8,2.5,4.0,2.5,4.0
28,40,20,10,10.0,5.0,10.0,5.0
29,18,5,6,2.5,3.0,2.5,3.0
30,133,45,10,22.5,5.0,22.5,5.0
31,412,5,8,2.5,4.0,2.5,4.0
32,247,10,4,5.0,2.0,5.0,2.0
33,98,20,10,10.0,5.0,10.0,5.0
34,110,25,10,12.5,5.0,12.5,5.0
35,499,30,8,15.0,4.0,15.0,4.0
36,80,45,2,22.5,1.0,22.5,1.0
37,333,15,10,7.5,5.0,7.5,5.0
38,186,30,8,15.0,4.0,15.0,4.0
39,390,35,8,17.5,4.0,17.5,4.0
40,231,5,8,2.5,4.0,2.5,4.0
41,467,35,2,17.5,1.0,17.5,1.0
42,188,60,10,30.0,5.0,30.0,5.0
43,167,5,6,2.5,3.0,2.5,3.0
44,430,75,10,37.5,5.0,37.5,5.0
45,314,5,2,2.5,1.0,2.5,1.0
46,269,35,8,17.5,4.0,17.5,4.0
47,411,20,8,10.0,4.0,10.0,4.0
48,212,5,4,2.5,2.0,2.5,2.0
49,213,45,4,22.5,2.0,22.5,2.0
50,486,80,6,40.0,3.0,40.0,3.0
51,233,75,8,37.5,4.0,37.5,4.0
52,190,10,10,5.0,5.0,5.0,5.0
53,159,25,2,12.5,1.0,12.5,1.0
54,251,60,6,30.0,3.0,30.0,3.0
55,245,15,2,7.5,1.0,7.5,1.0
56,71,60,2,30.0,1.0,30.0,1.0
57,65,80,6,40.0,3.0,40.0,3.0
58,482,15,8,7.5,4.0,7.5,4.0
59,466,80,8,40.0,4.0,40.0,4.0
60,335,10,6,5.0,3.0,5.0,3.0
61,391,55,8,27.5,4.0,27.5,4.0
62,303,5,4,2.5,2.0,2.5,2.0
63,398,10,2,5.0,1.0,5.0,1.0
64,290,65,4,32.5,2.0,32.5,2.0
65,368,10,6,5.0,3.0,5.0,3.0
66,69,55,10,27.5,5.0,27.5,5.0
67,222,60,2,30.0,1.0,30.0,1.0
68,172,35,6,17.5,3.0,17.5,3.0
69,440,75,10,37.5,5.0,37.5,5.0
70,381,80,6,40.0,3.0,40.0,3.0
71,147,70,4,35.0,2.0,35.0,2.0
72,140,30,8,15.0,4.0,15.0,4.0
73,270,15,2,7.5,1.0,7.5,1.0
74,130,50,8,25.0,4.0,25.0,4.0
75,386,25,4,12.5,2.0,12.5,2.0
76,15,5,4,2.5,2.0,2.5,2.0
77,56,10,4,5.0,2.0,5.0,2.0
78,469,25,2,12.5,1.0,12.5,1.0
79,42,35,2,17.5,1.0,17.5,1.0
80,89,15,10,7.5,5.0,7.5,5.0
81,452,75,2,37.5,1.0,37.5,1.0
82,306,70,4,35.0,2.0,35.0,2.0
83,493,35,2,17.5,1.0,17.5,1.0
84,292,30,6,15.0,3.0,15.0,3.0
85,170,20,6,10.0,3.0,10.0,3.0
86,263,5,8,2.5,4.0,2.5,4.0
87,330,15,10,7.5,5.0,7.5,5.0
88,453,70,4,35.0,2.0,35.0,2.0
89,118,10,4,5.0,2.0,5.0,2.0
90,64,75,6,37.5,3.0,37.5,3.0
91,217,10,6,5.0,3.0,5.0,3.0
92,88,5,8,2.5,4.0,2.5,4.0
93,299,10,6,5.0,3.0,5.0,3.0
94,318,55,8,27.5,4.0,27.5,4.0
95,308,20,8,10.0,4.0,10.0,4.0
96,189,20,2,10.0,1.0,10.0,1.0
97,357,45,8,22.5,4.0,22.5,4.0
98,261,20,2,10.0,1.0,10.0,1.0
99,345,5,2,2.5,1.0,2.5,1.0
100,350,35,6,17.5,3.0,17.5,3.0
101,184,70,10,35.0,5.0,35.0,5.0
102,182,35,10,17.5,5.0,17.5,5.0
103,401,55,10,27.5,5.0,27.5,5.0
104,399,15,2,7.5,1.0,7.5,1.0
105,39,55,2,27.5,1.0,27.5,1.0
106,221,20,8,10.0,4.0,10.0,4.0
107,375,30,6,15.0,3.0,15.0,3.0
108,419,30,4,15.0,2.0,15.0,2.0
109,304,30,10,15.0,5.0,15.0,5.0
110,161,15,10,7.5,5.0,7.5,5.0
111,21,5,10,2.5,5.0,2.5,5.0
112,243,25,2,12.5,1.0,12.5,1.0
113,289,5,2,2.5,1.0,2.5,1.0
114,75,35,6,17.5,3.0,17.5,3.0
115,87,65,8,32.5,4.0,32.5,4.0
116,117,30,2,15.0,1.0,15.0,1.0
117,468,20,6,10.0,3.0,10.0,3.0
118,242,15,10,7.5,5.0,7.5,5.0
119,144,15,6,7.5,3.0,7.5,3.0
120,284,70,2,35.0,1.0,35.0,1.0
121,207,80,8,40.0,4.0,40.0,4.0
122,405,30,2,15.0,1.0,15.0,1.0
123,371,55,10,27.5,5.0,27.5,5.0
124,216,45,10,22.5,5.0,22.5,5.0
125,93,20,2,10.0,1.0,10.0,1.0
126,435,30,6,15.0,3.0,15.0,3.0
127,27,20,10,10.0,5.0,10.0,5.0
128,441,25,2,12.5,1.0,12.5,1.0
129,51,55,2,27.5,1.0,27.5,1.0
130,187,45,10,22.5,5.0,22.5,5.0
131,274,20,2,10.0,1.0,10.0,1.0
132,253,5,2,2.5,1.0,2.5,1.0
133,455,20,4,10.0,2.0,10.0,2.0
134,301,35,10,17.5,5.0,17.5,5.0
135,425,35,4,17.5,2.0,17.5,2.0
136,461,15,4,7.5,2.0,7.5,2.0
137,34,60,8,30.0,4.0,30.0,4.0
138,126,25,10,12.5,5.0,12.5,5.0
139,4,35,10,17.5,5.0,17.5,5.0
140,421,60,4,30.0,2.0,30.0,2.0
141,462,20,4,10.0,2.0,10.0,2.0
142,380,60,8,30.0,4.0,30.0,4.0
143,488,35,8,17.5,4.0,17.5,4.0
144,457,55,6,27.5,3.0,27.5,3.0
145,328,45,4,22.5,2.0,22.5,2.0
146,382,65,6,32.5,3.0,32.5,3.0
147,473,60,4,30.0,2.0,30.0,2.0
148,239,35,10,17.5,5.0,17.5,5.0
149,360,80,8,40.0,4.0,40.0,4.0
150,365,20,6,10.0,3.0,10.0,3.0
151,449,50,8,25.0,4.0,25.0,4.0
152,244,30,4,15.0,2.0,15.0,2.0
153,459,50,6,25.0,3.0,25.0,3.0
154,268,25,2,12.5,1.0,12.5,1.0
155,479,20,4,10.0,2.0,10.0,2.0
156,23,75,10,37.5,5.0,37.5,5.0
157,285,40,6,20.0,3.0,20.0,3.0
158,397,50,10,25.0,5.0,25.0,5.0
159,460,25,10,12.5,5.0,12.5,5.0
160,77,35,4,17.5,2.0,17.5,2.0
161,294,50,4,25.0,2.0,25.0,2.0
162,108,10,10,5.0,5.0,5.0,5.0
163,149,35,10,17.5,5.0,17.5,5.0
164,6,80,4,40.0,2.0,40.0,2.0
165,61,40,2,20.0,1.0,20.0,1.0
166,300,45,2,22.5,1.0,22.5,1.0
167,136,25,4,12.5,2.0,12.5,2.0
168,138,10,4,5.0,2.0,5.0,2.0
169,363,35,8,17.5,4.0,17.5,4.0
170,376,10,8,5.0,4.0,5.0,4.0
171,362,30,2,15.0,1.0,15.0,1.0
172,366,25,10,12.5,5.0,12.5,5.0
173,277,20,4,10.0,2.0,10.0,2.0
174,447,50,6,25.0,3.0,25.0,3.0
175,489,15,10,7.5,5.0,7.5,5.0
176,378,55,10,27.5,5.0,27.5,5.0
177,215,30,6,15.0,3.0,15.0,3.0
178,311,5,4,2.5,2.0,2.5,2.0
179,123,15,8,7.5,4.0,7.5,4.0
180,252,15,10,7.5,5.0,7.5,5.0
181,152,65,4,32.5,2.0,32.5,2.0
182,201,5,6,2.5,3.0,2.5,3.0
183,86,20,6,10.0,3.0,10.0,3.0
184,354,25,10,12.5,5.0,12.5,5.0
185,70,65,2,32.5,1.0,32.5,1.0
186,16,55,8,27.5,4.0,27.5,4.0
187,196,35,4,17.5,2.0,17.5,2.0
188,235,50,8,25.0,4.0,25.0,4.0
189,160,5,2,2.5,1.0,2.5,1.0
190,464,10,4,5.0,2.0,5.0,2.0
