ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores
0,319,10,2,5.0,1.0,5.0,1.0
1,347,80,8,40.0,4.0,40.0,4.0
2,326,20,10,10.0,5.0,10.0,5.0
3,48,15,4,7.5,2.0,7.5,2.0
4,94,20,2,10.0,1.0,10.0,1.0
5,276,15,2,7.5,1.0,7.5,1.0
6,117,55,2,27.5,1.0,27.5,1.0
7,273,5,2,2.5,1.0,2.5,1.0
8,324,15,8,7.5,4.0,7.5,4.0
9,8,45,10,22.5,5.0,22.5,5.0
10,206,75,6,37.5,3.0,37.5,3.0
11,287,15,2,7.5,1.0,7.5,1.0
12,443,30,2,15.0,1.0,15.0,1.0
13,328,25,6,12.5,3.0,12.5,3.0
14,124,10,6,5.0,3.0,5.0,3.0
15,207,30,8,15.0,4.0,15.0,4.0
16,101,20,4,10.0,2.0,10.0,2.0
17,163,35,10,17.5,5.0,17.5,5.0
18,331,10,2,5.0,1.0,5.0,1.0
19,294,65,2,32.5,1.0,32.5,1.0
20,235,45,10,22.5,5.0,22.5,5.0
21,10,75,4,37.5,2.0,37.5,2.0
22,209,30,4,15.0,2.0,15.0,2.0
23,433,15,4,7.5,2.0,7.5,2.0
24,183,5,4,2.5,2.0,2.5,2.0
25,81,25,6,12.5,3.0,12.5,3.0
26,58,25,10,12.5,5.0,12.5,5.0
27,190,65,2,32.5,1.0,32.5,1.0
28,288,30,4,15.0,2.0,15.0,2.0
29,454,25,6,12.5,3.0,12.5,3.0
30,263,30,8,15.0,4.0,15.0,4.0
31,404,10,10,5.0,5.0,5.0,5.0
32,385,5,4,2.5,2.0,2.5,2.0
33,352,30,8,15.0,4.0,15.0,4.0
34,312,30,2,15.0,1.0,15.0,1.0
35,480,40,2,20.0,1.0,20.0,1.0
36,405,20,2,10.0,1.0,10.0,1.0
37,428,10,4,5.0,2.0,5.0,2.0
38,72,40,2,20.0,1.0,20.0,1.0
39,65,75,10,37.5,5.0,37.5,5.0
40,307,25,8,12.5,4.0,12.5,4.0
41,203,70,10,35.0,5.0,35.0,5.0
42,380,50,4,25.0,2.0,25.0,2.0
43,181,5,2,2.5,1.0,2.5,1.0
44,43,60,2,30.0,1.0,30.0,1.0
45,396,20,6,10.0,3.0,10.0,3.0
46,420,60,2,30.0,1.0,30.0,1.0
47,38,45,4,22.5,2.0,22.5,2.0
48,233,35,6,17.5,3.0,17.5,3.0
49,430,65,2,32.5,1.0,32.5,1.0
50,89,30,2,15.0,1.0,15.0,1.0
51,229,45,2,22.5,1.0,22.5,1.0
52,475,5,10,2.5,5.0,2.5,5.0
53,295,10,10,5.0,5.0,5.0,5.0
54,214,25,4,12.5,2.0,12.5,2.0
55,225,15,8,7.5,4.0,7.5,4.0
56,62,80,6,40.0,3.0,40.0,3.0
57,498,5,8,2.5,4.0,2.5,4.0
58,401,5,10,2.5,5.0,2.5,5.0
59,191,25,8,12.5,4.0,12.5,4.0
60,238,70,2,35.0,1.0,35.0,1.0
61,6,35,10,17.5,5.0,17.5,5.0
62,456,20,4,10.0,2.0,10.0,2.0
63,187,10,4,5.0,2.0,5.0,2.0
64,269,15,10,7.5,5.0,7.5,5.0
65,461,10,8,5.0,4.0,5.0,4.0
66,39,5,10,2.5,5.0,2.5,5.0
67,91,25,6,12.5,3.0,12.5,3.0
68,349,5,2,2.5,1.0,2.5,1.0
69,398,65,4,32.5,2.0,32.5,2.0
70,392,45,8,22.5,4.0,22.5,4.0
71,439,20,8,10.0,4.0,10.0,4.0
72,24,5,8,2.5,4.0,2.5,4.0
73,409,35,10,17.5,5.0,17.5,5.0
74,431,60,10,30.0,5.0,30.0,5.0
75,217,60,2,30.0,1.0,30.0,1.0
76,259,25,6,12.5,3.0,12.5,3.0
77,250,20,4,10.0,2.0,10.0,2.0
78,261,25,8,12.5,4.0,12.5,4.0
79,76,45,4,22.5,2.0,22.5,2.0
80,116,50,8,25.0,4.0,25.0,4.0
81,310,10,8,5.0,4.0,5.0,4.0
82,272,60,6,30.0,3.0,30.0,3.0
83,340,10,6,5.0,3.0,5.0,3.0
84,423,45,2,22.5,1.0,22.5,1.0
85,237,80,6,40.0,3.0,40.0,3.0
86,234,5,8,2.5,4.0,2.5,4.0
87,462,75,6,37.5,3.0,37.5,3.0
88,158,70,10,35.0,5.0,35.0,5.0
89,77,55,8,27.5,4.0,27.5,4.0
90,369,50,6,25.0,3.0,25.0,3.0
91,59,60,10,30.0,5.0,30.0,5.0
92,171,30,4,15.0,2.0,15.0,2.0
93,477,20,4,10.0,2.0,10.0,2.0
94,52,30,4,15.0,2.0,15.0,2.0
95,110,15,4,7.5,2.0,7.5,2.0
96,13,35,2,17.5,1.0,17.5,1.0
97,465,35,8,17.5,4.0,17.5,4.0
98,67,20,10,10.0,5.0,10.0,5.0
99,140,10,8,5.0,4.0,5.0,4.0
100,47,10,4,5.0,2.0,5.0,2.0
101,160,10,8,5.0,4.0,5.0,4.0
102,61,10,2,5.0,1.0,5.0,1.0
103,416,50,6,25.0,3.0,25.0,3.0
104,186,20,2,10.0,1.0,10.0,1.0
105,40,25,10,12.5,5.0,12.5,5.0
106,70,45,4,22.5,2.0,22.5,2.0
107,365,35,10,17.5,5.0,17.5,5.0
108,388,25,8,12.5,4.0,12.5,4.0
109,176,5,6,2.5,3.0,2.5,3.0
110,63,30,4,15.0,2.0,15.0,2.0
111,1,5,4,2.5,2.0,2.5,2.0
112,278,45,2,22.5,1.0,22.5,1.0
113,156,25,2,12.5,1.0,12.5,1.0
114,200,15,6,7.5,3.0,7.5,3.0
115,75,10,2,5.0,1.0,5.0,1.0
116,226,55,10,27.5,5.0,27.5,5.0
117,123,5,4,2.5,2.0,2.5,2.0
118,292,35,4,17.5,2.0,17.5,2.0
119,69,35,4,17.5,2.0,17.5,2.0
120,7,60,4,30.0,2.0,30.0,2.0
121,397,70,10,35.0,5.0,35.0,5.0
122,46,25,10,12.5,5.0,12.5,5.0
123,144,80,10,40.0,5.0,40.0,5.0
124,432,15,6,7.5,3.0,7.5,3.0
125,11,5,4,2.5,2.0,2.5,2.0
126,322,10,4,5.0,2.0,5.0,2.0
127,99,80,2,40.0,1.0,40.0,1.0
128,112,80,6,40.0,3.0,40.0,3.0
129,353,55,4,27.5,2.0,27.5,2.0
130,127,5,8,2.5,4.0,2.5,4.0
131,408,20,8,10.0,4.0,10.0,4.0
132,147,10,2,5.0,1.0,5.0,1.0
133,254,10,6,5.0,3.0,5.0,3.0
134,122,10,8,5.0,4.0,5.0,4.0
135,192,10,2,5.0,1.0,5.0,1.0
136,419,50,10,25.0,5.0,25.0,5.0
137,128,20,8,10.0,4.0,10.0,4.0
138,400,25,8,12.5,4.0,12.5,4.0
139,224,10,6,5.0,3.0,5.0,3.0
140,463,35,6,17.5,3.0,17.5,3.0
141,458,50,8,25.0,4.0,25.0,4.0
142,268,25,6,12.5,3.0,12.5,3.0
143,494,40,2,20.0,1.0,20.0,1.0
144,325,30,6,15.0,3.0,15.0,3.0
145,436,45,4,22.5,2.0,22.5,2.0
146,23,10,6,5.0,3.0,5.0,3.0
147,403,35,4,17.5,2.0,17.5,2.0
148,18,35,4,17.5,2.0,17.5,2.0
149,151,75,2,37.5,1.0,37.5,1.0
150,311,10,8,5.0,4.0,5.0,4.0
151,327,45,4,22.5,2.0,22.5,2.0
152,188,60,6,30.0,3.0,30.0,3.0
153,306,10,4,5.0,2.0,5.0,2.0
154,298,30,4,15.0,2.0,15.0,2.0
155,115,30,4,15.0,2.0,15.0,2.0
