ServiceID,Importance,sBandwidth,sCores,rEBandwidth,rECores,rCBandwidth,rCCores
0,118,35,10,17.5,5.0,17.5,5.0
1,102,25,8,12.5,4.0,12.5,4.0
2,320,15,8,7.5,4.0,7.5,4.0
3,484,35,6,17.5,3.0,17.5,3.0
4,239,50,2,25.0,1.0,25.0,1.0
5,405,25,4,12.5,2.0,12.5,2.0
6,48,60,6,30.0,3.0,30.0,3.0
7,439,20,10,10.0,5.0,10.0,5.0
8,192,5,10,2.5,5.0,2.5,5.0
9,107,45,6,22.5,3.0,22.5,3.0
10,173,20,8,10.0,4.0,10.0,4.0
11,230,60,4,30.0,2.0,30.0,2.0
12,436,80,10,40.0,5.0,40.0,5.0
13,435,25,2,12.5,1.0,12.5,1.0
14,109,55,10,27.5,5.0,27.5,5.0
15,488,65,2,32.5,1.0,32.5,1.0
16,240,15,8,7.5,4.0,7.5,4.0
17,468,60,2,30.0,1.0,30.0,1.0
18,150,25,10,12.5,5.0,12.5,5.0
19,174,45,8,22.5,4.0,22.5,4.0
20,198,80,6,40.0,3.0,40.0,3.0
21,354,5,2,2.5,1.0,2.5,1.0
22,259,20,6,10.0,3.0,10.0,3.0
23,144,80,8,40.0,4.0,40.0,4.0
24,70,60,10,30.0,5.0,30.0,5.0
25,413,55,4,27.5,2.0,27.5,2.0
26,381,25,2,12.5,1.0,12.5,1.0
27,459,25,6,12.5,3.0,12.5,3.0
28,248,30,2,15.0,1.0,15.0,1.0
29,110,35,8,17.5,4.0,17.5,4.0
30,271,30,10,15.0,5.0,15.0,5.0
31,287,20,10,10.0,5.0,10.0,5.0
32,494,15,6,7.5,3.0,7.5,3.0
33,275,35,6,17.5,3.0,17.5,3.0
34,234,35,8,17.5,4.0,17.5,4.0
35,332,25,10,12.5,5.0,12.5,5.0
36,394,40,6,20.0,3.0,20.0,3.0
37,307,10,8,5.0,4.0,5.0,4.0
38,298,15,6,7.5,3.0,7.5,3.0
39,426,35,2,17.5,1.0,17.5,1.0
40,319,30,2,15.0,1.0,15.0,1.0
41,203,30,4,15.0,2.0,15.0,2.0
42,43,25,2,12.5,1.0,12.5,1.0
43,446,80,6,40.0,3.0,40.0,3.0
44,355,80,2,40.0,1.0,40.0,1.0
45,189,80,6,40.0,3.0,40.0,3.0
46,338,20,8,10.0,4.0,10.0,4.0
47,199,35,4,17.5,2.0,17.5,2.0
48,243,80,8,40.0,4.0,40.0,4.0
49,476,10,2,5.0,1.0,5.0,1.0
50,255,70,8,35.0,4.0,35.0,4.0
51,272,20,10,10.0,5.0,10.0,5.0
52,168,20,2,10.0,1.0,10.0,1.0
53,308,25,6,12.5,3.0,12.5,3.0
54,464,10,4,5.0,2.0,5.0,2.0
55,19,15,6,7.5,3.0,7.5,3.0
56,204,25,8,12.5,4.0,12.5,4.0
57,314,65,10,32.5,5.0,32.5,5.0
58,159,15,6,7.5,3.0,7.5,3.0
59,472,15,4,7.5,2.0,7.5,2.0
60,190,70,6,35.0,3.0,35.0,3.0
61,315,25,6,12.5,3.0,12.5,3.0
62,415,15,10,7.5,5.0,7.5,5.0
63,270,60,4,30.0,2.0,30.0,2.0
64,311,25,2,12.5,1.0,12.5,1.0
65,38,5,8,2.5,4.0,2.5,4.0
66,264,5,2,2.5,1.0,2.5,1.0
67,429,75,10,37.5,5.0,37.5,5.0
68,157,25,10,12.5,5.0,12.5,5.0
69,329,25,8,12.5,4.0,12.5,4.0
70,442,10,10,5.0,5.0,5.0,5.0
71,278,35,2,17.5,1.0,17.5,1.0
72,1,15,4,7.5,2.0,7.5,2.0
73,368,70,8,35.0,4.0,35.0,4.0
74,362,35,4,17.5,2.0,17.5,2.0
75,121,50,4,25.0,2.0,25.0,2.0
76,477,15,6,7.5,3.0,7.5,3.0
77,448,60,4,30.0,2.0,30.0,2.0
78,233,5,6,2.5,3.0,2.5,3.0
79,169,35,8,17.5,4.0,17.5,4.0
80,296,5,8,2.5,4.0,2.5,4.0
81,237,35,6,17.5,3.0,17.5,3.0
82,366,35,10,17.5,5.0,17.5,5.0
83,167,25,10,12.5,5.0,12.5,5.0
84,375,65,8,32.5,4.0,32.5,4.0
85,39,15,4,7.5,2.0,7.5,2.0
86,124,15,4,7.5,2.0,7.5,2.0
87,206,15,4,7.5,2.0,7.5,2.0
88,274,30,6,15.0,3.0,15.0,3.0
89,156,55,10,27.5,5.0,27.5,5.0
90,177,10,2,5.0,1.0,5.0,1.0
91,400,50,6,25.0,3.0,25.0,3.0
92,2,30,4,15.0,2.0,15.0,2.0
93,163,10,6,5.0,3.0,5.0,3.0
94,10,70,4,35.0,2.0,35.0,2.0
95,73,10,2,5.0,1.0,5.0,1.0
96,25,20,2,10.0,1.0,10.0,1.0
97,340,5,2,2.5,1.0,2.5,1.0
98,434,70,4,35.0,2.0,35.0,2.0
99,345,10,6,5.0,3.0,5.0,3.0
100,26,65,10,32.5,5.0,32.5,5.0
101,114,10,8,5.0,4.0,5.0,4.0
102,410,30,6,15.0,3.0,15.0,3.0
103,36,10,8,5.0,4.0,5.0,4.0
104,16,20,8,10.0,4.0,10.0,4.0
105,377,5,4,2.5,2.0,2.5,2.0
106,64,55,2,27.5,1.0,27.5,1.0
107,359,35,2,17.5,1.0,17.5,1.0
108,58,30,2,15.0,1.0,15.0,1.0
109,491,35,10,17.5,5.0,17.5,5.0
110,250,30,10,15.0,5.0,15.0,5.0
111,350,5,10,2.5,5.0,2.5,5.0
112,387,30,8,15.0,4.0,15.0,4.0
113,207,70,6,35.0,3.0,35.0,3.0
114,180,25,6,12.5,3.0,12.5,3.0
115,471,50,10,25.0,5.0,25.0,5.0
116,424,70,6,35.0,3.0,35.0,3.0
117,403,65,4,32.5,2.0,32.5,2.0
118,277,25,10,12.5,5.0,12.5,5.0
119,475,10,10,5.0,5.0,5.0,5.0
120,244,40,8,20.0,4.0,20.0,4.0
121,353,15,4,7.5,2.0,7.5,2.0
122,304,20,6,10.0,3.0,10.0,3.0
123,269,30,8,15.0,4.0,15.0,4.0
124,54,10,4,5.0,2.0,5.0,2.0
125,162,25,8,12.5,4.0,12.5,4.0
126,376,60,10,30.0,5.0,30.0,5.0
127,92,20,10,10.0,5.0,10.0,5.0
128,212,5,10,2.5,5.0,2.5,5.0
129,310,65,8,32.5,4.0,32.5,4.0
130,129,45,4,22.5,2.0,22.5,2.0
131,462,25,4,12.5,2.0,12.5,2.0
132,407,50,8,25.0,4.0,25.0,4.0
133,339,20,10,10.0,5.0,10.0,5.0
134,388,15,10,7.5,5.0,7.5,5.0
135,433,55,4,27.5,2.0,27.5,2.0
136,479,55,6,27.5,3.0,27.5,3.0
137,414,45,6,22.5,3.0,22.5,3.0
138,78,5,10,2.5,5.0,2.5,5.0
139,486,5,8,2.5,4.0,2.5,4.0
140,164,5,10,2.5,5.0,2.5,5.0
141,187,10,2,5.0,1.0,5.0,1.0
142,497,40,4,20.0,2.0,20.0,2.0
143,371,5,4,2.5,2.0,2.5,2.0
144,452,45,6,22.5,3.0,22.5,3.0
145,87,70,4,35.0,2.0,35.0,2.0
146,365,5,4,2.5,2.0,2.5,2.0
147,72,5,8,2.5,4.0,2.5,4.0
148,336,5,2,2.5,1.0,2.5,1.0
149,305,10,6,5.0,3.0,5.0,3.0
150,81,15,10,7.5,5.0,7.5,5.0
151,384,25,2,12.5,1.0,12.5,1.0
152,95,80,10,40.0,5.0,40.0,5.0
153,346,35,2,17.5,1.0,17.5,1.0
