EventTime,EventType,ServiceID,DomainID,EventID,TotalUtil,ID
1201959068000.0,allocate,3,0,35723,36,10200
1201959068000.0,allocate,37,0,35729,126,10200
1201959068000.0,allocate,53,0,35728,210,10200
1201959068000.0,allocate,17,0,35721,30,10200
1201959068000.0,allocate,15,0,35720,40,10200
1201959068000.0,allocate,58,0,35719,224,10200
1201959068000.0,allocate,11,0,35718,140,10200
1201959068000.0,allocate,39,0,35717,40,10200
1201959068000.0,allocate,7,0,35724,102,10200
1201959068000.0,allocate,55,0,35716,126,10200
1201959068000.0,allocate,50,0,35715,48,10200
1201959068000.0,allocate,68,0,35714,33,10200
1201959068000.0,allocate,28,0,35727,87,10200
1201959068000.0,allocate,51,0,35725,90,10200
1201959068000.0,allocate,24,0,35722,42,10200
1201959068000.0,allocate,81,0,35730,190,10200
1201959068000.0,allocate,46,0,35726,60,10200
1201959068000.0,allocate,79,0,35713,350,10200
1201959069000.0,allocate,54,0,21560,115,1350
1201959069000.0,allocate,37,0,21567,126,1350
1201959069000.0,allocate,98,0,21564,8,1350
1201959069000.0,allocate,13,0,21563,186,1350
1201959069000.0,allocate,53,0,21561,210,1350
1201959069000.0,allocate,96,0,21562,24,1350
1201959069000.0,allocate,14,0,21566,52,1350
1201959069000.0,allocate,4,0,21569,69,1350
1201959069000.0,allocate,60,0,21576,114,1350
1201959069000.0,allocate,1,0,21575,70,1350
1201959069000.0,allocate,56,0,21574,77,1350
1201959069000.0,allocate,57,0,21568,112,1350
1201959069000.0,allocate,24,0,21573,42,1350
1201959069000.0,allocate,3,0,21565,36,1350
1201959069000.0,allocate,88,0,21572,28,1350
1201959069000.0,allocate,91,0,21571,288,1350
1201959069000.0,allocate,27,0,21570,18,1350
1201959153000.0,allocate,28,0,330,87,113
1201959153000.0,allocate,9,0,321,70,113
1201959153000.0,allocate,46,0,322,60,113
1201959153000.0,allocate,0,0,323,63,113
1201959153000.0,allocate,85,0,324,9,113
1201959153000.0,allocate,6,0,325,100,113
1201959153000.0,allocate,47,0,326,162,113
1201959153000.0,allocate,86,0,327,156,113
1201959153000.0,allocate,82,0,328,210,113
1201959153000.0,allocate,95,0,331,56,113
1201959153000.0,allocate,63,0,329,198,113
1201959168000.0,allocate,75,0,26462,161,1499
1201959168000.0,allocate,3,0,26463,36,1499
1201959168000.0,allocate,31,0,26464,50,1499
1201959168000.0,allocate,2,0,26465,152,1499
1201959168000.0,allocate,16,0,26466,36,1499
1201959168000.0,allocate,71,0,26467,217,1499
1201959168000.0,allocate,62,0,26468,228,1499
1201959168000.0,allocate,19,0,26469,27,1499
1201959168000.0,allocate,80,0,26470,66,1499
1201959168000.0,allocate,92,0,26471,88,1499
1201959181000.0,allocate,80,0,32975,66,10085
1201959181000.0,allocate,92,0,32977,88,10085
1201959181000.0,allocate,94,0,32981,114,10085
1201959181000.0,allocate,79,0,32980,350,10085
1201959181000.0,allocate,63,0,32965,198,10085
1201959181000.0,allocate,26,0,32966,204,10085
1201959181000.0,allocate,90,0,32968,84,10085
1201959181000.0,allocate,15,0,32969,40,10085
1201959181000.0,allocate,11,0,32979,140,10085
1201959181000.0,allocate,67,0,32970,24,10085
1201959181000.0,allocate,78,0,32971,24,10085
1201959181000.0,allocate,65,0,32972,21,10085
1201959181000.0,allocate,14,0,32973,52,10085
1201959181000.0,allocate,64,0,32974,238,10085
1201959181000.0,allocate,45,0,32978,228,10085
1201959181000.0,allocate,19,0,32967,27,10085
1201959181000.0,allocate,72,0,32976,49,10085
1201959205000.0,allocate,70,0,2510,108,1002
1201959205000.0,allocate,31,0,2508,50,1002
1201959205000.0,allocate,61,0,2509,56,1002
1201959205000.0,allocate,81,0,2511,190,1002
1201959205000.0,allocate,8,0,2517,51,1002
1201959205000.0,allocate,99,0,2513,42,1002
1201959205000.0,allocate,80,0,2514,66,1002
1201959205000.0,allocate,79,0,2515,350,1002
1201959205000.0,allocate,12,0,2516,56,1002
1201959205000.0,allocate,7,0,2518,102,1002
1201959205000.0,allocate,22,0,2521,84,1002
1201959205000.0,allocate,2,0,2520,152,1002
1201959205000.0,allocate,43,0,2512,168,1002
1201959205000.0,allocate,14,0,2519,52,1002
1201959246000.0,allocate,43,0,6877,168,1101
1201959246000.0,allocate,82,0,6869,210,1101
1201959246000.0,allocate,68,0,6878,33,1101
1201959246000.0,allocate,70,0,6864,108,1101
1201959246000.0,allocate,76,0,6863,30,1101
1201959246000.0,allocate,41,0,6875,114,1101
1201959246000.0,allocate,45,0,6871,228,1101
1201959246000.0,allocate,56,0,6866,77,1101
1201959246000.0,allocate,17,0,6867,30,1101
1201959246000.0,allocate,59,0,6876,126,1101
1201959246000.0,allocate,53,0,6874,210,1101
1201959246000.0,allocate,92,0,6873,88,1101
1201959246000.0,allocate,40,0,6872,275,1101
1201959246000.0,allocate,13,0,6865,186,1101
1201959246000.0,allocate,30,0,6870,204,1101
1201959246000.0,allocate,74,0,6868,10,1101
1201959265000.0,allocate,86,0,30318,156,10062
1201959265000.0,allocate,95,0,30315,56,10062
1201959265000.0,allocate,44,0,30316,7,10062
1201959265000.0,allocate,34,0,30317,224,10062
1201959265000.0,allocate,49,0,30319,78,10062
1201959265000.0,allocate,64,0,30320,238,10062
1201959265000.0,allocate,51,0,30321,90,10062
1201959265000.0,allocate,98,0,30322,8,10062
1201959265000.0,allocate,60,0,30323,114,10062
1201959265000.0,allocate,36,0,30324,114,10062
1201959277000.0,allocate,5,0,23175,132,1385
1201959277000.0,allocate,26,0,23174,204,1385
1201959277000.0,allocate,13,0,23172,186,1385
1201959277000.0,allocate,47,0,23159,162,1385
1201959277000.0,allocate,71,0,23160,217,1385
1201959277000.0,allocate,70,0,23173,108,1385
1201959277000.0,allocate,55,0,23161,126,1385
1201959277000.0,allocate,67,0,23163,24,1385
1201959277000.0,allocate,40,0,23164,275,1385
1201959277000.0,allocate,9,0,23165,70,1385
1201959277000.0,allocate,94,0,23166,114,1385
1201959277000.0,allocate,12,0,23167,56,1385
1201959277000.0,allocate,4,0,23168,69,1385
1201959277000.0,allocate,21,0,23169,88,1385
1201959277000.0,allocate,73,0,23170,11,1385
1201959277000.0,allocate,44,0,23171,7,1385
1201959277000.0,allocate,31,0,23162,50,1385
1201959283000.0,allocate,14,0,30756,52,10075
1201959283000.0,allocate,84,0,30757,15,10075
1201959283000.0,allocate,61,0,30758,56,10075
1201959283000.0,allocate,26,0,30759,204,10075
1201959283000.0,allocate,49,0,30755,78,10075
1201959283000.0,allocate,10,0,30754,65,10075
1201959283000.0,allocate,39,0,30753,40,10075
1201959283000.0,allocate,42,0,30752,114,10075
1201959283000.0,allocate,1,0,30751,70,10075
1201959283000.0,allocate,44,0,30763,7,10075
1201959283000.0,allocate,7,0,30762,102,10075
1201959283000.0,allocate,64,0,30761,238,10075
1201959283000.0,allocate,50,0,30760,48,10075
1201959285000.0,allocate,41,0,13400,114,1196
1201959285000.0,allocate,32,0,13402,133,1196
1201959285000.0,allocate,71,0,13401,217,1196
1201959285000.0,allocate,23,0,13397,171,1196
1201959285000.0,allocate,89,0,13394,130,1196
1201959285000.0,allocate,70,0,13396,108,1196
1201959285000.0,allocate,21,0,13403,88,1196
1201959285000.0,allocate,5,0,13409,132,1196
1201959285000.0,allocate,9,0,13399,70,1196
1201959285000.0,allocate,20,0,13398,48,1196
1201959285000.0,allocate,90,0,13408,84,1196
1201959285000.0,allocate,64,0,13407,238,1196
1201959285000.0,allocate,4,0,13406,69,1196
1201959285000.0,allocate,83,0,13405,9,1196
1201959285000.0,allocate,56,0,13395,77,1196
1201959285000.0,allocate,1,0,13404,70,1196
1201959308000.0,allocate,34,0,7362,224,1121
1201959308000.0,allocate,82,0,7372,210,1121
1201959308000.0,allocate,12,0,7368,56,1121
1201959308000.0,allocate,23,0,7371,171,1121
1201959308000.0,allocate,59,0,7356,126,1121
1201959308000.0,allocate,60,0,7357,114,1121
1201959308000.0,allocate,26,0,7358,204,1121
1201959308000.0,allocate,14,0,7359,52,1121
1201959308000.0,allocate,31,0,7370,50,1121
1201959308000.0,allocate,4,0,7373,69,1121
1201959308000.0,allocate,10,0,7369,65,1121
1201959308000.0,allocate,28,0,7360,87,1121
1201959308000.0,allocate,95,0,7361,56,1121
1201959308000.0,allocate,71,0,7363,217,1121
1201959308000.0,allocate,80,0,7364,66,1121
1201959308000.0,allocate,84,0,7365,15,1121
1201959308000.0,allocate,19,0,7366,27,1121
1201959308000.0,allocate,86,0,7367,156,1121
1201959320000.0,allocate,77,0,26001,364,1484
1201959320000.0,allocate,50,0,26000,48,1484
1201959320000.0,allocate,53,0,25994,210,1484
1201959320000.0,allocate,41,0,25993,114,1484
1201959320000.0,allocate,12,0,25991,56,1484
1201959320000.0,allocate,91,0,25986,288,1484
1201959320000.0,allocate,60,0,25987,114,1484
1201959320000.0,allocate,26,0,25989,204,1484
1201959320000.0,allocate,96,0,25988,24,1484
1201959320000.0,allocate,13,0,25995,186,1484
1201959320000.0,allocate,4,0,25996,69,1484
1201959320000.0,allocate,9,0,25997,70,1484
1201959320000.0,allocate,22,0,25992,84,1484
1201959320000.0,allocate,24,0,25990,42,1484
1201959320000.0,allocate,75,0,25999,161,1484
1201959320000.0,allocate,79,0,25998,350,1484
1201959332000.0,allocate,86,0,29353,156,10009
1201959332000.0,allocate,58,0,29354,224,10009
1201959332000.0,allocate,66,0,29355,204,10009
1201959332000.0,allocate,84,0,29351,15,10009
1201959332000.0,allocate,15,0,29357,40,10009
