NodeName,NumCores,PartitioningHeuristic
domain2_worker0,10,worstfit
domain2_worker1,10,worstfit
domain2_worker2,10,worstfit
domain2_worker3,10,worstfit
domain2_worker4,10,worstfit
domain2_worker5,10,worstfit
domain2_worker6,10,worstfit
domain2_worker7,10,worstfit
domain2_worker8,10,worstfit
domain2_worker9,10,worstfit
domain2_worker10,10,worstfit
domain2_worker11,10,worstfit
domain2_worker12,10,worstfit
domain2_worker13,10,worstfit
domain2_worker14,10,worstfit
domain2_worker15,10,worstfit
domain2_worker16,10,worstfit
domain2_worker17,10,worstfit
domain2_worker18,10,worstfit
domain2_worker19,10,worstfit
